user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
111,-0.99945,-0.99945,-0.99945,-0.99945,-0.99945,-0.99945,-0.99945,-0.99945,-0.99945,-0.99969685,0.9996809,0.6421551,0.6421551,0.6421551
112,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9982369,0.9834403,0.9834403,0.9834403,0.9834403
113,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925,-0.99808925
114,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,-0.99906546,0.0009784698,0.0009784698,0.0009784698,0.0009784698
115,-0.99914205,-0.99914205,-0.99914205,-0.99914205,-0.99914205,-0.9992544,-0.9992544,-0.9992544,-0.9992544,-0.9992544,-0.9992544,-0.9992544,-0.9992544,-0.9992544
116,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407,-0.9976407
117,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583,-0.9997583
118,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305,-0.9974305
119,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99256283,-0.99862206,-0.99967325,-0.99967325,-0.99967325,-0.99967325
120,-0.9898067,-0.9898067,-0.9898067,-0.9898067,-0.99805295,-0.99805295,-0.99805295,-0.99805295,-0.99805295,-0.99805295,-0.99199134,-0.99199134,-0.99199134,-0.99199134
