user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
45,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256,-0.98968256
46,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.9933877,-0.99697673,-0.99697673,-0.99697673
47,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.99860966,-0.98004216,-0.98004216,-0.98004216,-0.98004216,-0.99905485,-0.9980261,-0.9980261,-0.9980261,-0.98018175,-0.98018175,-0.98018175
48,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99930394,-0.99837947,0.9166352,0.9166352,0.9166352,0.9166352
49,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9983908,-0.9961333,-0.9961333,-0.9961333,-0.9961333,-0.9961333,-0.9961333,-0.9961333
50,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9974021,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.9942972,-0.97830415,-0.97830415,-0.97830415,-0.97830415,-0.97830415
51,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247,0.8564247
52,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.99729675,-0.8362591,-0.8362591,-0.8362591,-0.8362591,-0.8362591,-0.8362591,-0.96969247,-0.9970726,-0.98741305,-0.98741305,-0.98741305,-0.98741305
53,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,0.99695385,-0.9971826,-0.9971826,-0.9971826
54,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,-0.99860257,0.0014984906,0.0014984906,0.0014984906,0.0014984906,0.0014984906
55,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.99867487,-0.97805184,-0.97805184,-0.97805184,-0.97805184,-0.97805184,-0.97805184,-0.97805184,-0.97805184,-0.9972972,-0.9972972,-0.9972972,-0.9972972
